"id_campo","nome_campo","descricao_do_campo","obrigatorio_sim_nao","tipo_de_dado","formato_esperado","modulo_da_ferramenta","origem_no_codigo","informacao_necessaria","fonte_preferencial","status_de_preenchimento","observacoes"
"psc.rows.gestao[]","Gestao/fiscalizacao anual","Gestao contratual do modelo atual","Sim","lista{item,modal,valor}","R$","M1 PSC","tbody-gestao / rows.gestao","Custo de gestao atual","-","Lacuna","[custo atual do Estado] Nao quantificado (ate 18 contratos)"
"psc.rows.receita[]","Receitas dedutoras","Receitas que abatem o custo publico","Sim","lista{item,modal,valor}","R$","M1 PSC","tbody-receita / rows.receita","Receita atual","-","Lacuna","[receitas] Receita atual nao identificada"
"psc.premissas[]","Premissas e limitacoes","Premissas/limitacoes do levantamento","Sim","lista{tipo,desc}","texto","M1 PSC","tbody-premissa / premissas","Premissas","-","Preenchido","[premissas financeiras] 3 premissas registradas"
"proj-*","Identificacao (M2)","Dados cadastrais do projeto","Sim","texto/select","livre","M2 Riscos","estado.identificacao","Setor/modalidade/prazo/valor","PDF","Preenchido","[modalidade] Concessao Adm., 30 anos"
"riscos.R01","R01 - Disponibilidade de terras/acesso/local","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R01","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[desapropriacoes] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R02","R02 - Risco social/reassentamento","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R02","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[riscos retidos pelo Estado] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R03","R03 - Risco ambiental/licenciamento","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R03","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[licencas e autorizacoes] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R04","R04 - Risco de design/projeto","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R04","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[riscos transferidos ao parceiro privado] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R05","R05 - Risco de construcao","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R05","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[riscos transferidos ao parceiro privado] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R06","R06 - Risco de variacoes","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R06","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[matriz de riscos] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R07","R07 - Risco operacional (O&M)","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R07","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[riscos transferidos ao parceiro privado] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R08","R08 - Risco de demanda/receita","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R08","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[receitas] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R09","R09 - Risco de mercados financeiros","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R09","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[riscos transferidos ao parceiro privado] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R10","R10 - Risco estrategico/parceria","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R10","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[matriz de riscos] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R11","R11 - Risco de tecnologia disruptiva","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R11","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[matriz de riscos] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R12","R12 - Risco de forca maior","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R12","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[riscos compartilhados] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R13","R13 - Risco politico/soberano","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R13","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[riscos retidos pelo Estado] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R14","R14 - Risco de mudanca de legislacao","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R14","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[riscos compartilhados] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R15","R15 - Risco de rescisao antecipada","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R15","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[encerramento contratual] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"riscos.R16","R16 - Risco da condicao na reversao","Alocacao/justificativa/mitigacao por subcategoria","Sim","lista{aloc,just,mit}","Publico/Compartilhado/Privado","M2 Riscos","estado.riscos.R16","Alocacao do risco","Anexo VII (matriz de risco) / VfM PDF","Parcial","[bens reversiveis] Alocacao tipica mantida; Anexo VII nao detalhado nos documentos"
"m3.identif","M3 - Identificacao do empreendimento","Analise critica da precificacao de obras","Nao","misto","misto","M3 Precificacao","state.identif","Orcamento/composicoes/BDI da obra","XLSM aba 06.CAPEX / docs de engenharia","Preenchido","[escopo] Documentos NAO trazem orcamento analitico/BDI/ART"
"m3.metod","M3 - Metodologia de precificacao","Analise critica da precificacao de obras","Nao","misto","misto","M3 Precificacao","state.metod","Orcamento/composicoes/BDI da obra","XLSM aba 06.CAPEX / docs de engenharia","Lacuna","[CAPEX] Documentos NAO trazem orcamento analitico/BDI/ART"
"m3.refs","M3 - Bases de precos e adequacao","Analise critica da precificacao de obras","Nao","misto","misto","M3 Precificacao","state.refs","Orcamento/composicoes/BDI da obra","XLSM aba 06.CAPEX / docs de engenharia","Lacuna","[CAPEX] Documentos NAO trazem orcamento analitico/BDI/ART"
"m3.comps.metricas","M3 - Metricas globais (valor, area, R$/m2, BDI)","Analise critica da precificacao de obras","Nao","misto","misto","M3 Precificacao","state.comps.metricas","Orcamento/composicoes/BDI da obra","XLSM aba 06.CAPEX / docs de engenharia","Parcial","[CAPEX] Documentos NAO trazem orcamento analitico/BDI/ART"
"m3.comps.parcelas","M3 - Parcelas/componentes do custo","Analise critica da precificacao de obras","Nao","misto","misto","M3 Precificacao","state.comps.parcelas","Orcamento/composicoes/BDI da obra","XLSM aba 06.CAPEX / docs de engenharia","Lacuna","[CAPEX] Documentos NAO trazem orcamento analitico/BDI/ART"
"m3.justif","M3 - Justificativa tecnica","Analise critica da precificacao de obras","Nao","misto","misto","M3 Precificacao","state.justif","Orcamento/composicoes/BDI da obra","XLSM aba 06.CAPEX / docs de engenharia","Lacuna","[CAPEX] Documentos NAO trazem orcamento analitico/BDI/ART"
"m3.critic","M3 - Checklist critico (18 itens)","Analise critica da precificacao de obras","Nao","misto","misto","M3 Precificacao","state.critic","Orcamento/composicoes/BDI da obra","XLSM aba 06.CAPEX / docs de engenharia","Lacuna","[CAPEX] Documentos NAO trazem orcamento analitico/BDI/ART"
"m3.sint","M3 - Sintese e parecer","Analise critica da precificacao de obras","Nao","misto","misto","M3 Precificacao","state.sint","Orcamento/composicoes/BDI da obra","XLSM aba 06.CAPEX / docs de engenharia","Parcial","[CAPEX] Documentos NAO trazem orcamento analitico/BDI/ART"
"checklist.A","M4 grupo A - Estruturacao e Contratacao (8 itens)","Itens de custo (aplic/valor/status/nota)","Nao","lista{aplic,valor,status,nota}","Sim/Nao/Parcial + R$","M4 Checklist","items.* (data-id)","Previsao e valor de cada custo transversal/setorial","XLSM/PDF","Preenchido","[custos de estruturacao] Ver 20_checklist_custos_estado.csv"
"checklist.B","M4 grupo B - Implantacao (8 itens)","Itens de custo (aplic/valor/status/nota)","Nao","lista{aplic,valor,status,nota}","Sim/Nao/Parcial + R$","M4 Checklist","items.* (data-id)","Previsao e valor de cada custo transversal/setorial","XLSM/PDF","Preenchido","[custos imputaveis ao Estado] Ver 20_checklist_custos_estado.csv"
"checklist.C","M4 grupo C - Operacao e Manutencao (6 itens)","Itens de custo (aplic/valor/status/nota)","Nao","lista{aplic,valor,status,nota}","Sim/Nao/Parcial + R$","M4 Checklist","items.* (data-id)","Previsao e valor de cada custo transversal/setorial","XLSM/PDF","Preenchido","[contraprestacoes] Ver 20_checklist_custos_estado.csv"
"checklist.D","M4 grupo D - Governanca Contratual (7 itens)","Itens de custo (aplic/valor/status/nota)","Nao","lista{aplic,valor,status,nota}","Sim/Nao/Parcial + R$","M4 Checklist","items.* (data-id)","Previsao e valor de cada custo transversal/setorial","XLSM/PDF","Preenchido","[fiscalizacao] Ver 20_checklist_custos_estado.csv"
"checklist.E","M4 grupo E - Riscos e Contingencias (10 itens)","Itens de custo (aplic/valor/status/nota)","Nao","lista{aplic,valor,status,nota}","Sim/Nao/Parcial + R$","M4 Checklist","items.* (data-id)","Previsao e valor de cada custo transversal/setorial","XLSM/PDF","Preenchido","[custos imputaveis ao Estado] Ver 20_checklist_custos_estado.csv"
"checklist.F","M4 grupo F - Custos Fiscais e Financeiros (8 itens)","Itens de custo (aplic/valor/status/nota)","Nao","lista{aplic,valor,status,nota}","Sim/Nao/Parcial + R$","M4 Checklist","items.* (data-id)","Previsao e valor de cada custo transversal/setorial","XLSM/PDF","Preenchido","[impacto fiscal] Ver 20_checklist_custos_estado.csv"
"checklist.set-edificacoes","M4 grupo set-edificacoes - Setorial Edificacoes/Facilities (8 itens)","Itens de custo (aplic/valor/status/nota)","Nao","lista{aplic,valor,status,nota}","Sim/Nao/Parcial + R$","M4 Checklist","items.* (data-id)","Previsao e valor de cada custo transversal/setorial","XLSM/PDF","Preenchido","[custos imputaveis ao Estado] Ver 20_checklist_custos_estado.csv"
"m1-*","M5 - Identificacao e parametros (M5)","Evidencia comparativa PSC x PPP","Nao","misto","misto","M5 VfM","vfm_cage_rs_v1.fields/mels","Comparacao de custo e qualidade","VfM PDF / XLSM '12'","Preenchido","[analise quantitativa de VfM] Nucleo da analise de vantajosidade"
"m1-tsd","M5 - Taxa Social de Desconto","Evidencia comparativa PSC x PPP","Nao","misto","misto","M5 VfM","vfm_cage_rs_v1.fields/mels","Comparacao de custo e qualidade","VfM PDF / XLSM '12'","Preenchido","[taxa de desconto] Nucleo da analise de vantajosidade"
"m1-sob","M5 - Fator de sobrecusto de obras","Evidencia comparativa PSC x PPP","Nao","misto","misto","M5 VfM","vfm_cage_rs_v1.fields/mels","Comparacao de custo e qualidade","VfM PDF / XLSM '12'","Preenchido","[premissas financeiras] Nucleo da analise de vantajosidade"
"m1-ef","M5 - Fator de eficiencia comercial publica","Evidencia comparativa PSC x PPP","Nao","misto","misto","M5 VfM","vfm_cage_rs_v1.fields/mels","Comparacao de custo e qualidade","VfM PDF / XLSM '12'","Preenchido","[premissas financeiras] Nucleo da analise de vantajosidade"
"m2-vpb/vpa/vpp","M5 - VPL PSC bruto/ajustado/PPP","Evidencia comparativa PSC x PPP","Nao","misto","misto","M5 VfM","vfm_cage_rs_v1.fields/mels","Comparacao de custo e qualidade","VfM PDF / XLSM '12'","Preenchido","[analise quantitativa de VfM] Nucleo da analise de vantajosidade"
"m5.psc(M5)","M5 - Tabela PSC bruto (CAT A-D)","Evidencia comparativa PSC x PPP","Nao","misto","misto","M5 VfM","vfm_cage_rs_v1.fields/mels","Comparacao de custo e qualidade","VfM PDF / XLSM '12'","Parcial","[custo atual do Estado] Nucleo da analise de vantajosidade"
"m5.diagnostico(M5)","M5 - Nivel de servico atual e mapa de falhas","Evidencia comparativa PSC x PPP","Nao","misto","misto","M5 VfM","vfm_cage_rs_v1.fields/mels","Comparacao de custo e qualidade","VfM PDF / XLSM '12'","Parcial","[diagnostico da prestacao atual] Nucleo da analise de vantajosidade"
"mels[]","M5 - Melhorias qualitativas (cards)","Evidencia comparativa PSC x PPP","Nao","misto","misto","M5 VfM","vfm_cage_rs_v1.fields/mels","Comparacao de custo e qualidade","VfM PDF / XLSM '12'","Preenchido","[melhorias qualitativas] Nucleo da analise de vantajosidade"
"matriz(M5)","M5 - Matriz de relevancia das melhorias","Evidencia comparativa PSC x PPP","Nao","misto","misto","M5 VfM","vfm_cage_rs_v1.fields/mels","Comparacao de custo e qualidade","VfM PDF / XLSM '12'","Preenchido","[melhorias qualitativas] Nucleo da analise de vantajosidade"
"m5.q1..q5","M5 - Questoes-chave do VfM","Evidencia comparativa PSC x PPP","Nao","misto","misto","M5 VfM","vfm_cage_rs_v1.fields/mels","Comparacao de custo e qualidade","VfM PDF / XLSM '12'","Preenchido","[analise qualitativa de VfM] Nucleo da analise de vantajosidade"
"m5.r-conclusao","M5 - Conclusao fundamentada","Evidencia comparativa PSC x PPP","Nao","misto","misto","M5 VfM","vfm_cage_rs_v1.fields/mels","Comparacao de custo e qualidade","VfM PDF / XLSM '12'","Preenchido","[analise qualitativa de VfM] Nucleo da analise de vantajosidade"
