"id_campo","nome_campo","informacao_preenchida","fonte","arquivo","pagina_pdf","secao_pdf","aba_xlsx","celula_ou_intervalo_xlsx","trecho_ou_descricao_da_evidencia","tipo_de_evidencia","grau_de_confianca","justificativa_do_grau_de_confianca","ha_divergencia_sim_nao","descricao_da_divergencia","observacao_para_validacao_humana"
"psc","PSC (contratacao tradicional)","R$ 1.904,7 mi (XLSM) / 1.937,4 mi (PDF)","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","32","3.3.5 VP do PSC","12. Affordability e VfM","G24","Decomposto: Invest+Desp+Aditivos+Transacao+Atraso-Receitas","texto+celula","Media","Comparador de ciclo de vida (nao e custo atual)","Sim","Ver linha 'vfm'","PSC = execucao publica do PROJETO completo, nao operacao atual"
"custo_ppp","Custo da PPP (VP)","R$ 1.716,2 mi (XLSM) / 1.744,7 mi (PDF)","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","24","3.2.4 VP custos PPP","12. Affordability e VfM","G16","Contraprestacao - Neutralidade + Gestao","texto+celula","Media","Depende da versao","Sim","Ver linha 'vfm'","-"
"neutralidade","Neutralidade competitiva","-R$ 462,4 mi VP (PIS/COFINS/ISS/IRPJ/CSLL)","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","23","3.2.3","12. Affordability e VfM","G15","'tributos ... subtraidos do fluxo da PPP'","texto+celula","Alta","Expresso e em celula","Sim","-459,1 (PDF) vs -462,4 (XLSM)","Ajuste metodologico - custo imputavel ao Estado"
"gestao_contratual","Gestao contratual (custo imputavel)","R$ 453,4 mil/ano (VPL R$ 4,9 mi)","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","21","3.2.2 Tabela 2","12. Affordability e VfM","G14","Tabela 2: equipe de gestao contratual","tabela+celula","Alta","Tabela detalhada por cargo","Nao","-","Custo direto do Estado na PPP"
"atraso_obras","Custo de atraso (PSC)","R$ 16,3 mi VP (iPrazo RS 3,27; atraso ~7 anos)","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","28-30","3.3.3","12. Affordability e VfM","D19/G22","'iPrazo 3,27 ... atraso de 7 anos'; alugueis externos","texto+celula","Alta","Metodologia explicita","Nao","-","Aplicado so ao PSC"
"transacao","Custo de transacao (PSC)","R$ 1,5 mi VP (18 contratos, R$ 28.918,40/licitacao)","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","31","3.3.4","12. Affordability e VfM","D18/D26/G21","'ate dezoito fornecedores ... R$ 28.918,40 por licitacao'","texto+celula","Alta","Metodologia explicita","Nao","-","-"
"receitas_acessorias","Receitas acessorias","R$ 41,3 mi/ano max; VPL no PSC R$ 121,2 mi (65-75% do privado)","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","26-27/40","3.3.1/4.1","12. Affordability e VfM","G32/D45-D48","Aluguel comercial 78, corporativo 65 R$/m2 (cenario base)","texto+celula","Alta","Tabela de sensibilidade","Nao","-","Fator de eficiencia publica 65-75%"
"affordability","Comprometimento da RCL","0,49% (limite legal 5%)","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","38-39","4. Affordability Tab.4","00. PAINEL","G47","RCL 2025 R$ 65.233 mi; limite 3.261,65; 0,49%","texto+celula","Alta","Tabela 4 explicita","Sim","RCL 65.233 mi (PDF Tab.4) vs RCL modelo 56.500 mi (XLSM I99)","Conferir RCL de referencia"
"garantias","Garantias publicas","FPE como garantia subsidiaria + RRF; vinculacao de receitas (Anexo IX)","Documental","Apresentacao CGCPPP CAFF (17/03/2026)","16/38","Contrato/Parecer","-","-","'Utilizacao do FPE como garantia subsidiaria e aplicacao do RRF'","texto","Alta","Expresso no parecer previo","Nao","-","Detalhar no contrato de garantia"
"verificador","Verificador Independente","Previsto - relatorios trimestrais; aferição do ID","Documental","Apresentacao CGCPPP CAFF (17/03/2026)","17","Verificacao Independente","-","-","'atuacao do Verificador Independente'; Anexo IV/X","texto","Alta","Expresso","Nao","-","Custo nao isolado nos documentos"
"mecanismo_pagamento","Mecanismo de pagamento","CME = CMMax x FDISP x FID (FID 80-100%, trimestral)","Documental","Apresentacao CGCPPP CAFF (17/03/2026)","24","Contraprestacao Mensal Efetiva","-","-","'CME = CMMAX x FDISP x FID'","formula","Alta","Formula expressa (Anexo VI)","Nao","-","-"
"riscos_transferidos","Riscos transferidos ao privado","Projeto, Construcao, Financiamento, O&M, Ciclo de vida, Ambiental, Econ-fin","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","13-14","2.1 Transferencia de riscos","-","-","Lista de 7 categorias de risco transferidas","texto","Alta","Lista expressa","Nao","-","Matriz de risco detalhada no Anexo VII (nao fornecido)"
"melhorias_qual","Melhorias qualitativas","Transferencia de riscos; qualidade; eficiencia; reversibilidade (+ apresentacao)","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","12-16","2. Analise Qualitativa","-","-","4 vantagens qualitativas + beneficios da apresentacao","texto","Alta","Secao dedicada","Nao","-","Ver 21_matriz_melhorias_qualitativas.csv"
"desapropriacao","Desapropriacoes","Nao aplicavel relevante (terreno publico existente)","Inferencia","Apresentacao CGCPPP CAFF (17/03/2026)","4/8","Visao geral","-","-","Complexo CAFF existente; terreno do Estado (122.051 m2)","texto","Media","Inferencia: nao ha mencao a desapropriacao","Nao","-","Confirmar inexistencia de aquisicoes de area"
"aporte","Aporte publico","Nao aplicavel (n.a. no benchmark)","Documental","Apresentacao CGCPPP CAFF (17/03/2026)","26","Benchmarks","-","-","Linha 'Aporte' do CAFF = n.a.","tabela","Media","Indicado n.a. na tabela de benchmark","Nao","-","Confirmar ausencia de aporte no edital"
"custo_estruturacao","Custos de estruturacao","Estruturacao via BNDES (OCS 330/2024); ressarcimento via investimento/B3","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","26/2","3.3.1/capa","-","-","'remuneracao dos estudos e da B3' expurgada do PSC","texto","Media","Expresso, sem valor isolado","Nao","-","Obter valor da remuneracao de estudos"
